Latitude,Longitude,State,BCR,Annual percent change (%),Statistical significance
41.23,-90.33,Illinois,22,4.62,+
40.38,-90.4,Illinois,22,3.97,+
39.54,-90.48,Illinois,22,8.73,+
38.69,-90.55,Illinois,22,1.5,-
37.84,-90.62,Illinois,22,2.01,-
42.02,-88.97,Illinois,22,1.15,-
41.17,-89.06,Illinois,22,2.07,-
40.33,-89.15,Illinois,22,4.67,+
39.48,-89.24,Illinois,22,3.25,+
38.64,-89.33,Illinois,22,2.48,-
41.95,-87.69,Illinois,22,1.28,-
41.11,-87.8,Illinois,22,2.74,+
40.26,-87.91,Illinois,22,3.63,+
39.42,-88.01,Illinois,22,5.54,+
38.57,-88.12,Illinois,22,-0.54,+
37.72,-88.22,Indiana,24,0.61,-
41.03,-86.54,Indiana,23,-0.25,-
40.18,-86.66,Indiana,22,2.05,-
39.34,-86.79,Indiana,22,-0.21,-
38.5,-86.9,Indiana,24,-0.94,+
37.65,-87.02,Indiana,24,8.32,+
41.78,-85.14,Indiana,23,-0.26,-
40.94,-85.28,Indiana,23,3.52,+
40.1,-85.42,Indiana,22,4.04,+
39.25,-85.56,Indiana,22,1.47,-
38.41,-85.7,Indiana,24,-0.05,-
43.03,-96.69,Iowa,22,3.3,-
42.19,-96.68,Iowa,22,1.67,-
41.34,-95.4,Iowa,22,4.14,+
40.48,-94.16,Iowa,22,7.6,+
43,-92.78,Iowa,22,7.08,+
42.15,-92.82,Iowa,22,7.36,+
41.31,-92.86,Iowa,22,4.52,-
40.46,-92.9,Iowa,22,4.67,-
42.97,-91.47,Iowa,23,7.6,+
42.12,-91.53,Iowa,22,3.49,+
41.27,-91.59,Iowa,22,5.4,+
40.43,-91.65,Iowa,22,7.45,+
42.07,-90.25,Iowa,22,8.85,+
38.8,-96.65,Kansas,22,3.3,+
37.1,-96.63,Kansas,22,3.39,+
38.8,-95.43,Kansas,22,5.81,+
37.1,-95.44,Kansas,22,-1.37,-
47.08,-88.35,Michigan,12,-0.61,-
46.16,-87.09,Michigan,12,0.74,-
45.32,-87.21,Michigan,12,-2.73,+
-85.57,46.92,Michigan,12,0.19,-
46.08,-85.72,Michigan,12,-0.23,-
-85.87,45.24,Michigan,12,1.8,-
44.39,-86.01,Michigan,12,3.59,+
43.55,-86.15,Michigan,12,2.22,+
-86.28,42.71,Michigan,23,0.74,-
41.87,-86.41,Michigan,23,-1.73,+
45.98,-84.36,Michigan,12,0.77,-
45.14,-84.52,Michigan,12,1.64,-
44.3,-84.68,Michigan,12,3.87,+
43.46,-84.84,Michigan,23,4.84,+
42.62,-84.99,Michigan,23,-0.36,+
-83.18,45.03,Michigan,12,1.9,-
-83.36,44.19,Michigan,12,4.18,-
43.35,-83.54,Michigan,23,7.15,+
42.52,-83.71,Michigan,23,2.03,+
-82.24,43.24,Michigan,23,0.77,-
42.4,-82.42,Michigan,23,8.24,+
46.42,-96.73,Minnesota,23,6.18,+
47.27,-95.34,Minnesota,12,4.62,-
46.42,-95.35,Minnesota,23,3.66,-
45.57,-95.36,Minnesota,23,6.54,+
48.95,-93.88,Minnesota,12,2.56,-
48.1,-93.91,Minnesota,12,2.09,-
47.25,-93.94,Minnesota,12,4.78,-
46.41,-93.97,Minnesota,12,3.81,-
45.56,-94,Minnesota,23,0.69,-
44.71,-94.03,Minnesota,23,5.87,+
47.23,-92.54,Minnesota,12,4.66,+
46.38,-92.59,Minnesota,12,3.6,-
45.54,-92.64,Minnesota,23,1.47,-
44.69,-92.69,Minnesota,23,-2.26,+
43.85,-92.73,Minnesota,22,4.24,+
48.04,-91.07,Minnesota,12,1.1,-
-91.14,47.19,Minnesota,12,1.99,-
43.81,-91.41,Minnesota,23,9.53,+
40.49,-95.41,Missouri,22,10.09,+
39.64,-94.18,Missouri,22,8.92,+
38.79,-94.2,Missouri,22,2.22,-
37.94,-94.23,Missouri,22,3.45,+
37.09,-94.25,Missouri,22,2.68,-
39.61,-92.94,Missouri,22,9.6,+
44.66,-91.35,Missouri,23,-0.55,+
39.58,-91.71,Missouri,22,0.62,-
41.34,-96.67,Nebraska,22,1.9,-
40.49,-96.66,Nebraska,22,5.07,+
39.65,-95.42,Nebraska,22,10.9,+
41.68,-83.87,Ohio,23,4.35,+
40.84,-84.03,Ohio,22,1.1,-
40,-84.19,Ohio,22,1.32,-
39.15,-84.34,Ohio,22,5.35,+
-82.61,41.56,Ohio,23,0.4,-
40.72,-82.78,Ohio,23,2.42,+
39.88,-82.96,Ohio,22,1.17,-
39.04,-83.12,Ohio,22,7.97,+
-81.15,42.27,Ohio,13,-1.38,+
41.44,-81.35,Ohio,13,0.19,+
40.6,-81.54,Ohio,13,2.79,+
39.76,-81.73,Ohio,13,-0.13,-
38.92,-81.91,Ohio,28,3.7,-
41.3,-80.09,Ohio,13,1.23,-
40.47,-80.3,Ohio,13,1.82,-
46.35,-91.21,Wisconsin,12,2.79,-
45.5,-91.28,Wisconsin,12,0.44,-
45.45,-89.92,Wisconsin,23,-2.25,+
44.61,-90.01,Wisconsin,23,-0.14,-
43.76,-90.09,Wisconsin,23,1.64,-
42.92,-90.17,Wisconsin,22,0.64,-
44.55,-88.67,Wisconsin,23,2.28,+
43.71,-88.77,Wisconsin,23,4.8,+
42.86,-88.87,Wisconsin,23,2.11,+
44.48,-87.34,Wisconsin,23,3.78,+
43.63,-87.46,Wisconsin,23,3.24,+
42.79,-87.58,Wisconsin,23,-0.9,+
