Latitude,Longitude,State,BCR,Annual percent change (%),Statistical significance
41.23,-90.33,Illinois,22,2.11,-
40.38,-90.4,Illinois,22,-1.42,+
39.54,-90.48,Illinois,22,2.24,-
38.69,-90.55,Illinois,22,-0.33,+
37.84,-90.62,Illinois,22,-1.38,-
42.02,-88.97,Illinois,22,-2.93,+
41.17,-89.06,Illinois,22,-1.33,+
40.33,-89.15,Illinois,22,0.07,-
39.48,-89.24,Illinois,22,-1,+
38.64,-89.33,Illinois,22,-2.33,-
41.95,-87.69,Illinois,22,-0.64,+
41.11,-87.8,Illinois,22,2.93,+
40.26,-87.91,Illinois,22,7.7,+
39.42,-88.01,Illinois,22,3.23,+
38.57,-88.12,Illinois,22,1.49,-
37.72,-88.22,Indiana,24,-4.09,+
41.03,-86.54,Indiana,23,-3.75,+
40.18,-86.66,Indiana,22,5.69,+
39.34,-86.79,Indiana,22,-0.15,-
38.5,-86.9,Indiana,24,-1.45,+
37.65,-87.02,Indiana,24,2.44,-
41.78,-85.14,Indiana,23,-2.15,+
40.94,-85.28,Indiana,23,0.59,-
40.1,-85.42,Indiana,22,2.03,-
39.25,-85.56,Indiana,22,-0.78,+
38.41,-85.7,Indiana,24,-1.05,-
43.03,-96.69,Iowa,22,1.59,-
42.19,-96.68,Iowa,22,2.14,-
41.34,-95.4,Iowa,22,-3.58,+
-94.13,41.33,Iowa,22,1.21,-
40.48,-94.16,Iowa,22,5.7,+
43,-92.78,Iowa,22,5.67,+
42.15,-92.82,Iowa,22,5.52,+
41.31,-92.86,Iowa,22,0.28,-
40.46,-92.9,Iowa,22,1.16,-
42.97,-91.47,Iowa,23,4.41,+
42.12,-91.53,Iowa,22,0.67,-
41.27,-91.59,Iowa,22,3.43,-
40.43,-91.65,Iowa,22,-3.39,+
42.07,-90.25,Iowa,22,0.84,-
38.8,-96.65,Kansas,22,-2.33,+
37.1,-96.63,Kansas,22,1.48,-
38.8,-95.43,Kansas,22,0.67,-
37.1,-95.44,Kansas,22,-0.87,-
47.08,-88.35,Michigan,12,5.93,+
-88.46,46.24,Michigan,12,8.97,+
46.16,-87.09,Michigan,12,4.86,+
45.32,-87.21,Michigan,12,2.03,-
-85.57,46.92,Michigan,12,3.09,-
46.08,-85.72,Michigan,12,-1.5,-
-85.87,45.24,Michigan,12,1.29,-
44.39,-86.01,Michigan,12,0.01,-
