Latitude,Longitude,State,BCR,Annual percent change (%),Statistical significance
41.31,-92.86,Iowa,22,-0.44,-
46.42,-96.73,Minnesota,23,-0.15,-
41.34,-95.4,Iowa,22,-0.08,-
-82.24,43.24,Michigan,23,0.38,-
37.1,-95.44,Kansas,22,0.54,-
43.55,-86.15,Michigan,12,0.86,-
39.88,-82.96,Ohio,22,1.1,-
42.62,-84.99,Michigan,23,1.34,-
40.72,-82.78,Ohio,23,1.43,-
42.02,-88.97,Illinois,22,1.49,-
41.34,-96.67,Nebraska,22,1.53,-
38.8,-96.65,Kansas,22,1.66,-
41.78,-85.14,Indiana,23,1.71,-
42.79,-87.58,Wisconsin,23,1.89,-
38.79,-94.2,Missouri,22,1.9,-
39.25,-85.56,Indiana,22,2.04,-
-86.28,42.71,Michigan,23,2.05,-
41.87,-86.41,Michigan,23,2.31,+
43.35,-83.54,Michigan,23,2.36,-
-83.18,45.03,Michigan,12,2.68,-
44.55,-88.67,Wisconsin,23,2.76,-
40,-84.19,Ohio,22,2.79,-
38.64,-89.33,Illinois,22,3.08,-
37.72,-88.22,Indiana,24,3.08,-
39.64,-94.18,Missouri,22,3.08,-
39.34,-86.79,Indiana,22,3.38,-
41.44,-81.35,Ohio,13,3.41,+
41.68,-83.87,Ohio,23,3.47,+
40.1,-85.42,Indiana,22,3.58,+
43.63,-87.46,Wisconsin,23,3.58,-
39.48,-89.24,Illinois,22,3.62,+
41.95,-87.69,Illinois,22,4,+
41.03,-86.54,Indiana,23,4.02,-
44.39,-86.01,Michigan,12,4.12,+
43.76,-90.09,Wisconsin,23,4.23,-
42.86,-88.87,Wisconsin,23,4.37,+
38.41,-85.7,Indiana,24,4.38,-
42.12,-91.53,Iowa,22,4.56,+
44.3,-84.68,Michigan,12,4.56,-
40.47,-80.3,Ohio,13,4.58,+
41.3,-80.09,Ohio,13,4.63,+
41.11,-87.8,Illinois,22,4.78,+
37.09,-94.25,Missouri,22,4.82,-
38.5,-86.9,Indiana,24,4.83,+
40.84,-84.03,Ohio,22,4.84,+
37.84,-90.62,Illinois,22,4.87,-
45.98,-84.36,Michigan,12,5.03,-
38.69,-90.55,Illinois,22,5.12,+
39.15,-84.34,Ohio,22,5.32,+
-81.15,42.27,Ohio,13,5.44,+
37.94,-94.23,Missouri,22,5.56,+
42.52,-83.71,Michigan,23,5.6,+
41.17,-89.06,Illinois,22,5.68,+
45.14,-84.52,Michigan,12,5.82,+
38.57,-88.12,Illinois,22,5.87,+
39.76,-81.73,Ohio,13,5.91,+
-85.87,45.24,Michigan,12,6.08,-
-82.61,41.56,Ohio,23,6.21,+
44.71,-94.03,Minnesota,23,6.31,+
42.97,-91.47,Iowa,23,6.49,+
40.48,-94.16,Iowa,22,6.58,-
38.8,-95.43,Kansas,22,6.8,+
42.19,-96.68,Iowa,22,6.87,+
40.49,-96.66,Nebraska,22,6.88,+
46.16,-87.09,Michigan,12,7.03,-
41.23,-90.33,Illinois,22,7.08,+
39.04,-83.12,Ohio,22,7.12,+
39.58,-91.71,Missouri,22,7.24,+
40.46,-92.9,Iowa,22,7.38,+
40.26,-87.91,Illinois,22,7.58,+
43.71,-88.77,Wisconsin,23,7.64,+
40.33,-89.15,Illinois,22,7.69,+
44.61,-90.01,Wisconsin,23,7.74,+
42.4,-82.42,Michigan,23,7.81,+
43.85,-92.73,Minnesota,22,7.83,+
42.07,-90.25,Iowa,22,8.17,+
37.65,-87.02,Indiana,24,8.74,+
44.69,-92.69,Minnesota,23,8.79,+
38.92,-81.91,Ohio,28,8.84,+
43.46,-84.84,Michigan,23,8.96,+
40.18,-86.66,Indiana,22,9.01,+
45.54,-92.64,Minnesota,23,9.26,+
40.49,-95.41,Missouri,22,9.35,+
39.61,-92.94,Missouri,22,9.52,+
37.1,-96.63,Kansas,22,9.59,+
40.94,-85.28,Indiana,23,9.73,+
39.65,-95.42,Nebraska,22,9.73,+
40.38,-90.4,Illinois,22,9.77,+
42.92,-90.17,Wisconsin,23,9.79,+
44.66,-91.35,Missouri,23,10.16,+
41.27,-91.59,Iowa,22,10.33,+
39.54,-90.48,Illinois,22,10.42,+  
40.6,-81.54,Ohio,13,10.5,+
43.81,-91.41,Minnesota,23,11.19,+
42.15,-92.82,Iowa,22,11.34,+
43,-92.78,Iowa,22,12.68,+
40.43,-91.65,Iowa,22,12.68,+
39.42,-88.01,Illinois,22,15,+
